ID;Name;Number;Set;Series;Rarity;HP;Type;Artist;Release Date;Average Price;Count;Finish Type;Reverse Holo;Language
TWM_int_163;Secret Box;163/226;Twilight Masquerade;Scarlet & Violet;Ultra Rare;;Trainer;Toyste Beach;2024-05-24T00:00:00Z;8,32;1;HOLOFOIL;No;EN
TEF_int_162;Neo Upper Energy;162/218;Temporal Forces;Scarlet & Violet;Ultra Rare;;Energy;;2024-03-22T00:00:00Z;15,24;1;HOLOFOIL;No;EN
TEF_int_152;Hero's Cape;152/218;Temporal Forces;Scarlet & Violet;Ultra Rare;;Trainer;Toyste Beach;2024-03-22T00:00:00Z;16,14;1;HOLOFOIL;No;EN
MEG_int_184;Lillie's Determination;184/188;Mega Evolution;Mega;Special Illustration Rare;;Trainer;satoma;2025-09-26T00:00:00Z;63,68;1;HOLOFOIL;No;EN
CRI_int_113;Special Red Card;113/122;Chaos Rising;Mega;Ultra Rare;;Trainer;Studio Bora Inc.;2026-05-22T00:00:00Z;5,01;1;HOLOFOIL;No;EN
SCR_int_164;Crispin;164/175;Stellar Crown;Scarlet & Violet;Ultra Rare;;Trainer;GIDORA;2024-09-13T00:00:00Z;8,43;1;HOLOFOIL;No;EN
ASC_int_255;Black Belt's Training;255/295;Ascended Heroes;Mega;Ultra Rare;;Trainer;GOSSAN;2026-01-30T00:00:00Z;1,04;1;HOLOFOIL;No;EN
PFL_int_118;Dawn;118/130;Phantasmal Flames;Mega;Ultra Rare;;Trainer;Yuu Nishida;2025-11-14T00:00:00Z;5,73;1;HOLOFOIL;No;EN
WHT_int_164;Hilda;164/173;White Flare;Scarlet & Violet;Ultra Rare;;Trainer;yuu;2025-07-18T00:00:00Z;10,21;1;HOLOFOIL;No;EN
ASC_int_256;Boss's Orders;256/295;Ascended Heroes;Mega;Ultra Rare;;Trainer;akagi;2026-01-30T00:00:00Z;6,11;1;HOLOFOIL;No;EN
ASC_int_264;Ultra Ball;264/295;Ascended Heroes;Mega;Ultra Rare;;Trainer;Studio Bora Inc.;2026-01-30T00:00:00Z;5,66;1;HOLOFOIL;No;EN
TWM_int_206;Kieran;206/226;Twilight Masquerade;Scarlet & Violet;Ultra Rare;;Trainer;GIDORA;2024-05-24T00:00:00Z;3,55;1;HOLOFOIL;No;EN
SFA_int_84;Fezandipiti ex;84/99;Shrouded Fable;Scarlet & Violet;Ultra Rare;210;Pokémon;5ban Graphics;2024-08-02T00:00:00Z;9,49;1;HOLOFOIL;No;EN
PRE_int_163;Pecharunt ex;163/180;Prismatic Evolutions;Scarlet & Violet;Special Illustration Rare;190;Pokémon;osare;2025-01-17T00:00:00Z;37,90;1;HOLOFOIL;No;EN
TWM_int_211;Teal Mask Ogerpon ex;211/226;Twilight Masquerade;Scarlet & Violet;Special Illustration Rare;210;Pokémon;Yano Keiji;2024-05-24T00:00:00Z;21,55;2;HOLOFOIL;No;EN
SFA_int_92;Fezandipiti ex;92/99;Shrouded Fable;Scarlet & Violet;Special Illustration Rare;210;Pokémon;kantaro;2024-08-02T00:00:00Z;36,91;1;HOLOFOIL;No;EN
SVP_int_189;N's Zorua;189/217;Scarlet & Violet Promos;Scarlet & Violet;Unknown;70;Pokémon;Megumi Mizutani;2023-01-01T00:00:00Z;10,36;2;HOLOFOIL;No;EN
JTG_int_185;N's Zoroark ex;185/190;Journey Together;Scarlet & Violet;Special Illustration Rare;280;Pokémon;Megumi Mizutani;2025-03-28T00:00:00Z;55,59;1;HOLOFOIL;No;EN
